No,音,英語,日本語,☑
2257,,deliberately,故意に,
2258,,classical,古典の,
2259,,strict,厳しい,
2260,,atomic,原子の,
2261,,prospect,見通し,
2262,,institute,制定する,
2263,,economics,経済学,
2264,,painful,苦痛な,
2265,,bend,曲げる,
2266,,republic,共和国,
2267,,massive,巨大な,
2268,,inhabitant,居住者,
2269,,resident,居住者,
2270,,ultimate,究極の,
2271,,precious,貴重な,
2272,,peculiar,奇妙な,
2273,,plain,簡素な,
2274,,altogether,完全に,
2275,,pioneer,開拓者,
2276,,excessive,過度の,
2277,,liquid,液体の,
2278,,permanent,永久の,
2279,,gene,遺伝子,
2280,,committee,委員会,
2281,,cease,やめる,
2282,,cave,ほら穴,
2283,,awful,ひどい,
2284,,originate,始まる,
2285,,grasp,つかむ,
2286,,delicate,繊細な,
2287,,luxury,贅沢な,
2288,,civil,市民の,
2289,,verbal,言葉の,
2290,,inclined,傾いた,
2291,,impose,課する,
2292,,mammal,哺乳動物,
2293,,relieve,和らげる,
2294,,logical,論理的な,
2295,,rational,理性的な,
2296,,imitate,模倣する,
2297,,evident,明らかな,
2298,,fascinate,魅了する,
2299,,essentially,本質的に,
2300,,desirable,望ましい,
2301,,broadcast,放送する,
2302,,guarantee,保証する,
2303,,retain,保持する,
2304,,analyze,分析する,
2305,,unpleasant,不愉快な,
2306,,exhibit,展示する,
2307,,burst,破裂する,
2308,,traditionally,伝統的に,
2309,,adjust,調節する,
2310,,investigate,調査する,
2311,,abstract,抽象的な,
2312,,delay,遅らせる,
2313,,Atlantic,大西洋の,
2314,,behalf,代わって,
2315,,relative,相対的な,
2316,,identical,同一の,
2317,,absolute,絶対的な,
2318,,found,設立する,
2319,,pile,積み重ね,
2320,,mature,成熟した,
2321,,restrict,制限する,
2322,,artificial,人工的な,
2323,,evolve,進化する,
2324,,patience,辛抱強さ,
2325,,cruise,巡航する,
2326,,eliminate,取り除く,
2327,,primarily,主として,
2328,,socially,社会的に,
2329,,practically,実質的に,
2330,,cure,治療する,
2331,,dominate,支配する,
2332,,commit,罪を犯す,
2333,,devise,考え出す,
2334,,cultivate,耕作する,
2335,,constitute,構成する,
2336,,update,更新する,
2337,,aggressive,攻撃的な,
2338,,protest,抗議する,
2339,,effectively,効果的に,
2340,,traffic jam,交通渋滞,
2341,,inspire,鼓舞する,
2342,,invisible,見えない,
2343,,undergo,経験する,
2344,,neighbor,隣人,
2345,,interfere,干渉する,
2346,,confirm,確認する,
2347,,apparent,外見上の,
2348,,resolve,解決する,
2349,,calm,穏やかな,
2350,,swallow,飲み込む,
2351,,overwhelming,圧倒的な,
2352,,neglect,無視する,
2353,,increasingly,ますます,
2354,,assure,保証する,
2355,,resist,抵抗する,
2356,,consequently,その結果,
2357,,confine,制限する,
2358,,whisper,ささやく,
2359,,beg,懇願する,
2360,,cling,くっつく,
2361,,gaze,凝視する,
2362,,urge,強く促す,
2363,,astonish,驚かせる,
2364,,nod,うなずく,
2365,,wan,青ざめた,
2366,,depress,落胆させる,
2367,,reliable,頼りになる,
2368,,democratic,民主主義の,
2369,,satisfactory,満足のいく,
2370,,literally,文字通りに,
2371,,sensible,分別のある,
2372,,generate,発生させる,
2373,,confront,直面させる,
2374,,aloud,声に出して,
2375,,uncomfortable,心地の悪い,
2376,,weigh,重さがある,
2377,,elaborate,手の込んだ,
2378,,owe,借りている,
2379,,interrupt,邪魔をする,
2380,,industrialize,産業化する,
2381,,communist,共産主義者,
2382,,generous,気前のよい,
2383,,accustomed,慣れている,
2384,,amuse,楽しませる,
2385,,ensure,確実にする,
2386,,disagree,反対する,
2387,,blink,瞬きをする,
2388,,scatter,まき散らす,
2389,,distinct,他と違った,
2390,,barely,かろうじて,
2391,,bow,お辞儀する,
2392,,fold,折りたたむ,
2393,,tremendous,非常に大きな,
2394,,inevitable,避けられない,
2395,,yell,大声を上げる,
2396,,ruin,台無しにする,
2397,,spoil,台無しにする,
2398,,substitute,代わりに使う,
2399,,unlikely,起こりそうにない,
2400,,regardless,にも関わらず,
2401,,bang,ドンドン叩く,
2402,,whereas,である一方で,
2403,,deposit,お金を預ける,
2404,,exhaust,疲れ果てさせる,
2405,,dare,思い切ってする,
