No,英単語,日本語訳,記号,数値
1838,weekly,週刊の,＋,0
1839,well-known,有名な,＋,0
1840,wet,濡れている,＋,0
1841,what to,何をすべきか,＋,0
1842,while,しばらくの間,＋,0
1843,whole,すべての,＋,0
1844,wide,幅の広い,＋,0
1845,wind,風,＋,0
1846,wind power,風力,＋,0
1847,winner,勝者，受賞者,＋,0
1848,wish,を望む,＋,0
1849,won,勝った,＋,0
1850,worth,の価値がある,＋,0
1851,would,だろうに,＋,0
1852,would like to ～,に～してほしい,＋,0
1853,wrap,を包む,＋,0
1854,wrong,間違った,＋,0
1855,year,年,＋,0
1856,yen,円,＋,0
1857,yet,もう，すでに,＋,0
1858,yet,まだ，今のところは,＋,0
1859,youth,若さ,＋,0
1860,zone,地帯,＋,0
1861,can,～できる,＋,0
1862,when,～するとき,＋,0
1863,but,しかし,＋,0
1864,after,～の後で,＋,0
1865,because,なぜなら,＋,0
1866,play,劇,＋,0
1867,answer,答え,＋,0
1868,stay,滞在,＋,0
1869,even,～さえ,＋,0
1870,hard,一生懸命に,＋,0
1871,hall,廊下,＋,0
1872,still,まだ,＋,0
1873,introduce,紹介する,＋,0
1874,zoo,動物園,＋,0
1875,problem,問題,＋,0
1876,realize,実現する,＋,0
1877,carefully,注意深く,＋,0
1878,explain,説明する,＋,0
1879,during,～の間,＋,0
1880,away,離れて,＋,0
1881,weather,天気,＋,0
1882,meaning,意味,＋,0
1883,lie,横たわる,＋,0
1884,between,～と～の間,＋,0
1885,once,かつて,＋,0
1886,another,もう一つの,＋,0
1887,host,主人,＋,0
1888,wave,波,＋,0
1889,reason,理由,＋,0
1890,raw,生の,＋,0
1891,international,国際的な,＋,0
1892,natural,自然の,＋,0
1893,national,国家の,＋,0
1894,however,しかし,＋,0
1895,gym,体育館,＋,0
1896,cousin,いとこ,＋,0
1897,wonder,不思議に思う,＋,0
1898,necessary,必要な,＋,0
1899,fourteenth,14番目,＋,0
1900,excited,興奮した,＋,0
1901,delicious,おいしい,＋,0
1902,quickly,素早く,＋,0
1903,abroad,外国へ,＋,0
1904,entrance,入口,＋,0
1905,elephant,ゾウ,＋,0
1906,umbrella,かさ,＋,0
1907,frog,カエル,＋,0
1908,theater,劇場,＋,0
1909,husband,夫,＋,0
1910,scientist,科学者,＋,0
1911,century,世紀,＋,0
1912,crowd,群衆,＋,0
1913,queen,女王,＋,0
1914,neighbor,隣人,＋,0
1915,midnight,真夜中,＋,0
1916,reply,返信する,＋,0
1917,plant,植物,＋,0
1918,sentence,文,＋,0
1919,plate,お皿,＋,0
1920,hurt,傷つける,＋,0
1921,blind,目の見えない,＋,0
1922,brave,勇敢な,＋,0
1923,funny,可笑しい,＋,0
1924,tiny,小さな,＋,0
1925,common,共通の,＋,0
1926,everywhere,どこでも,＋,0
1927,certainly,確かに,＋,0
1928,suddenly,突然に,＋,0
1929,anyway,ともかく,＋,0
1930,probably,多分,＋,0
1931,twice,2回,＋,0
1932,probably,多分,＋,0
1933,twice,2回,＋,0
